mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
7.226,0.848,0.491,0.224,0.376,0.227,1.3159999999999998,42.624,0.0
7.332000000000002,0.852,0.58,0.217,0.344,0.211,1.352,42.714,0.0
7.497999999999998,0.861,0.5579999999999999,0.213,0.34700000000000003,0.224,1.342,43.06,0.0
7.172999999999999,0.857,0.495,0.221,0.354,0.223,1.294,42.965,0.0
7.322,0.86,0.514,0.211,0.338,0.209,1.272,42.927,0.0
7.372000000000001,0.853,0.509,0.21,0.35600000000000004,0.21,1.286,42.857,0.0
7.143,0.85,0.529,0.205,0.364,0.21,1.308,43.034,0.0
7.135,0.85,0.585,0.203,0.365,0.209,1.362,42.774,0.0
7.254,0.86,0.514,0.199,0.35100000000000003,0.212,1.275,42.706,0.0
7.124,0.853,0.503,0.201,0.34700000000000003,0.212,1.263,43.01300000000001,0.0
7.227,0.866,0.4920000000000001,0.2,0.318,0.204,1.215,42.983,0.0
7.097,0.872,0.488,0.201,0.32,0.20199999999999999,1.21,43.131,0.0
7.319,0.866,0.465,0.19399999999999998,0.337,0.19,1.187,42.961000000000006,0.0
7.1979999999999995,0.866,0.428,0.187,0.331,0.198,1.1440000000000001,42.441,0.0
7.279,0.862,0.45299999999999996,0.191,0.33799999999999997,0.188,1.169,42.99100000000001,0.0
7.407,0.862,0.447,0.19,0.33399999999999996,0.19,1.161,43.053999999999995,0.0
7.62,0.882,0.441,0.18600000000000003,0.313,0.193,1.1320000000000001,42.961999999999996,0.0
7.466,0.884,0.428,0.18,0.299,0.188,1.095,42.786,0.0
7.4479999999999995,0.88,0.406,0.177,0.301,0.185,1.068,42.751999999999995,0.0
7.606,0.8740000000000001,0.39299999999999996,0.18,0.313,0.182,1.067,42.745,0.0
7.574,0.875,0.419,0.177,0.315,0.18899999999999997,1.101,43.0,0.0
7.51,0.877,0.415,0.172,0.322,0.18100000000000002,1.09,42.982,0.0
7.565,0.866,0.41100000000000003,0.177,0.318,0.185,1.09,43.068000000000005,0.0
7.471,0.8809999999999999,0.374,0.16899999999999998,0.294,0.18100000000000002,1.018,43.018,0.0
7.597,0.878,0.424,0.171,0.314,0.182,1.091,43.075,0.0
7.5,0.883,0.363,0.17,0.301,0.174,1.0070000000000001,43.053999999999995,0.0
7.712000000000001,0.872,0.36700000000000005,0.165,0.303,0.175,1.0090000000000001,42.883,0.0
7.707999999999999,0.882,0.39399999999999996,0.165,0.287,0.179,1.025,42.803999999999995,0.0
7.648,0.889,0.36200000000000004,0.161,0.285,0.171,0.9790000000000001,42.541000000000004,0.0
7.44,0.889,0.382,0.16399999999999998,0.27699999999999997,0.172,0.996,42.506,0.0
7.346,0.89,0.355,0.16399999999999998,0.27399999999999997,0.168,0.9620000000000001,42.387,0.0
7.393,0.889,0.371,0.156,0.27899999999999997,0.172,0.978,42.555,0.0
7.599,0.89,0.33399999999999996,0.156,0.273,0.175,0.937,42.61,0.0
7.425,0.892,0.35700000000000004,0.157,0.268,0.165,0.9470000000000001,42.519,0.0
7.492000000000001,0.884,0.37799999999999995,0.16,0.29100000000000004,0.172,1.001,42.38399999999999,0.0
7.553,0.895,0.345,0.155,0.266,0.16399999999999998,0.93,42.022,0.0
7.772,0.892,0.32,0.157,0.28,0.166,0.9229999999999999,42.133,0.0
7.8229999999999995,0.899,0.32299999999999995,0.157,0.268,0.166,0.914,42.28,0.0
7.648,0.892,0.337,0.151,0.259,0.16,0.907,42.803999999999995,0.0
7.771,0.893,0.345,0.156,0.266,0.161,0.929,42.869,0.0
7.4879999999999995,0.898,0.33899999999999997,0.14800000000000002,0.264,0.162,0.9129999999999999,42.828,0.0
7.7829999999999995,0.894,0.317,0.14800000000000002,0.258,0.14800000000000002,0.871,42.68899999999999,0.0
7.611000000000001,0.8959999999999999,0.326,0.149,0.25,0.16,0.885,42.67,0.0
7.836,0.8909999999999999,0.314,0.152,0.276,0.156,0.897,42.542,0.0
